X,Y,Z
-5624,1750,19047
-5653,1761,19038
-5615,1795,19067
-5645,1806,19057
-5600,1838,19066
-5629,1849,19057
-5590,1882,19085
-5621,1894,19075
-5559,1920,19019
-5601,1936,19056
-5554,1966,19056
-5594,1982,19085
-5544,2010,19076
-5570,2022,19056
-5525,2051,19066
-5557,2066,19066
-5501,2091,19038
-5521,2101,19001
-5494,2137,19076
-5510,2145,19020
-5469,2176,19047
-5512,2195,19085
-5444,2215,19020
-5489,2235,19067
-5431,2258,19029
-5470,2276,19057
-5423,2304,19067
-5451,2318,19057
-5402,2344,19058
-5439,2362,19076
-5379,2384,19038
-5416,2402,19067
-5364,2427,19058
-5385,2438,19020
-5347,2468,19058
-5371,2482,19039
-5327,2509,19058
-5348,2521,19030
-5299,2546,19030
-5341,2568,19077
-5281,2588,19040
-5308,2603,19030
-5277,2636,19095
-5291,2645,19039
-5236,2666,19020
-5263,2682,19012
-5224,2712,19058
-5257,2731,19068
-5210,2755,19086
-5233,2770,19068
-5185,2793,19078
-5195,2801,19002
-5141,2821,18994
-5188,2849,19059
-5137,2870,19059
-5170,2891,19078
-5109,2907,19040
-5139,2926,19040
-5087,2946,19041
-5118,2966,19049
-5070,2989,19068
-5088,3002,19031
-5041,3024,19050
-5077,3048,19078
-5012,3059,19022
-5055,3089,19088
-4990,3099,19031
-5022,3121,19050
-4970,3139,19051
-5007,3166,19088
-4943,3176,19041
-4960,3190,19004
-4919,3215,19051
-4948,3236,19051
-4894,3253,19051
-4920,3273,19041
-4863,3287,19033
-4890,3308,19032
-4841,3326,19042
-4874,3351,19070
-4814,3362,19042
-4846,3387,19061
-4780,3394,19014
-4817,3422,19051
-4765,3438,19061
-4788,3458,19052
-4730,3469,19033
-4759,3494,19043
-4716,3515,19080
-4732,3530,19043
-4677,3542,19034
-4714,3573,19081
-4646,3575,19025
-4671,3598,19025
-4626,3617,19062
-4654,3642,19072
-4594,3650,19044
-4619,3673,19044
-4566,3685,19054
-4594,3711,19062
-4540,3723,19063
-4563,3745,19053
-4504,3752,19035
-4532,3778,19045
-4481,3791,19064
-4507,3816,19073
-4445,3820,19036
-4469,3844,19035
-4422,3860,19073
-4443,3881,19055
-4379,3883,19018
-4417,3919,19073
-4358,3924,19055
-4378,3945,19037
-4333,3963,19083
-4346,3978,19036
-4287,3982,19018
-4319,4016,19055
-4262,4021,19046
-4280,4041,19028
-4223,4047,19019
-4252,4078,19047
-4197,4084,19047
-4227,4116,19075
-4168,4119,19056
-4188,4143,19047
-4136,4151,19067
-4154,4173,19038
-4098,4177,19039
-4124,4206,19057
-4065,4208,19039
-4091,4238,19058
-4026,4232,19011
-4067,4279,19105
-3997,4268,19030
-4032,4309,19096
-3970,4305,19067
-3986,4326,19040
-3930,4329,19040
-3952,4356,19041
-3892,4354,19021
-3923,4392,19068
-3865,4392,19059
-3883,4416,19040
-3831,4422,19059
-3849,4446,19040
-3796,4451,19060
-3815,4476,19050
-3753,4470,19023
-3777,4501,19041
-3720,4500,19032
-3749,4539,19079
-3688,4532,19051
-3706,4558,19042
-3658,4568,19079
-3670,4586,19042
-3606,4574,18996
-3633,4612,19033
-3579,4613,19042
-3607,4653,19089
-3541,4638,19033
-3563,4671,19053
-3501,4659,19015
